Epoch,Train Loss,Train Accuracy
1,0.052874546498060226,0.9027833333333334
2,0.11135269701480865,0.97885
3,0.061903562396764755,0.9851666666666666
4,0.01533714309334755,0.9885166666666667
5,0.033151138573884964,0.9904833333333334
6,0.039638277143239975,0.9917166666666667
7,0.11159612238407135,0.99365
8,0.034706685692071915,0.9948666666666667
9,0.00148776697460562,0.99595
10,0.007435809820890427,0.9963666666666666
11,0.00619480712339282,0.9972166666666666
12,0.0032789178658276796,0.99755
13,0.0009852558141574264,0.9982666666666666
