Epoch,Train Loss,Train Accuracy
1,0.04144573211669922,0.9274333333333333
2,0.003298522438853979,0.98315
3,0.0026285198982805014,0.9876166666666667
4,0.0008671622490510345,0.9909166666666667
5,0.0008847910212352872,0.9929666666666667
6,0.00436187069863081,0.9942666666666666
7,0.00040921929758042097,0.9948833333333333
8,0.022070875391364098,0.9960833333333333
9,0.0014949716860428452,0.9964
10,0.004814329091459513,0.9971
11,0.0005981731810607016,0.9975166666666667
12,0.0008140229620039463,0.9978666666666667
