Epoch,Train Loss,Train Accuracy
1,0.2572128176689148,0.8474333333333334
2,0.32282111048698425,0.96505
3,0.11913416534662247,0.9741
4,0.03939628601074219,0.9792166666666666
5,0.019666682928800583,0.9822833333333333
6,0.10620278120040894,0.98385
7,0.016924044117331505,0.9855
8,0.05109737068414688,0.9865166666666667
9,0.06760808825492859,0.9880166666666667
10,0.0051794652827084064,0.9886166666666667
11,0.0006293024052865803,0.98935
12,0.005693349055945873,0.9898833333333333
13,0.029624607414007187,0.9902833333333333
14,0.0020101345144212246,0.9906
