Epoch,Train Loss,Train Accuracy
1,0.050097204744815826,0.90565
2,0.15460048615932465,0.9761833333333333
3,0.07119042426347733,0.98125
4,0.05731961131095886,0.9845
5,0.008817469701170921,0.9864333333333334
6,0.014624201692640781,0.9879833333333333
7,0.00988723710179329,0.9886666666666667
8,0.008214866742491722,0.9898666666666667
9,0.0064195250160992146,0.9907333333333334
10,0.033511918038129807,0.9912
11,0.006327169016003609,0.991
12,0.01651272363960743,0.9918166666666667
13,0.004384887870401144,0.9924666666666667
14,0.00038585957372561097,0.9928666666666667
