Epoch,Train Loss,Train Accuracy
1,0.08130627125501633,0.8735666666666667
2,0.15474234521389008,0.97415
3,0.04237251356244087,0.9824333333333334
4,0.01028638705611229,0.98565
5,0.026577569544315338,0.98945
6,0.040944382548332214,0.9913166666666666
7,0.01787690818309784,0.9922666666666666
8,0.013236071914434433,0.9937666666666667
9,0.002476627705618739,0.9949666666666667
10,0.002592208795249462,0.9952666666666666
11,0.0025266411248594522,0.9967666666666667
12,0.0030063751619309187,0.9969833333333333
