Epoch,Train Loss,Train Accuracy
1,0.015026246197521687,0.9621833333333333
2,0.004877503030002117,0.98435
3,0.15177324414253235,0.98915
4,0.007610886823385954,0.9903666666666666
5,0.0013616011710837483,0.9923833333333333
6,0.0624830462038517,0.9925833333333334
7,0.0013608817243948579,0.99385
8,0.0006570607656612992,0.9949833333333333
9,0.00010758764983620495,0.9953166666666666
10,0.0008544258889742196,0.9957333333333334
11,0.00016119152132887393,0.9958166666666667
12,0.00031591166043654084,0.9963666666666666
13,0.00704170623794198,0.9966833333333334
14,0.0009547320660203695,0.9965
15,0.23524488508701324,0.9971666666666666
