Epoch,Train Loss,Train Accuracy
1,0.457597017288208,0.7154333333333334
2,0.12764881551265717,0.9428666666666666
3,0.06329236924648285,0.9619666666666666
4,0.10349348187446594,0.9694
5,0.04321816936135292,0.9741333333333333
6,0.06953819841146469,0.976
7,0.0258023664355278,0.9782833333333333
8,0.013269864022731781,0.9801166666666666
9,0.02065225876867771,0.98165
10,0.016746245324611664,0.9819666666666667
11,0.11418155580759048,0.9836
12,0.030376482754945755,0.9838333333333333
13,0.026117578148841858,0.985
14,0.05130646377801895,0.9856333333333334
