Epoch,Train Loss,Train Accuracy
1,0.22324322164058685,0.7892833333333333
2,0.10812707245349884,0.9570666666666666
3,0.08786826580762863,0.97135
4,0.04761491343379021,0.978
5,0.05061496049165726,0.9824833333333334
6,0.006918270140886307,0.9848666666666667
7,0.05425523594021797,0.9872166666666666
8,0.03355663642287254,0.9877833333333333
9,0.05493270605802536,0.98985
10,0.04442031681537628,0.9907333333333334
11,0.0015881683211773634,0.9910833333333333
12,0.04380568861961365,0.9918
13,0.05000118911266327,0.9930166666666667
14,0.016197476536035538,0.9936166666666667
15,0.0012629175325855613,0.9941166666666666
