Epoch,Train Loss,Train Accuracy
1,0.08202061802148819,0.9019166666666667
2,0.04659431800246239,0.97775
3,0.014479444362223148,0.98385
4,0.2057942897081375,0.9873666666666666
5,0.09048599749803543,0.9892666666666666
6,0.05103874206542969,0.9911666666666666
7,0.0028884955681860447,0.99245
8,0.029954226687550545,0.9933666666666666
9,0.0051320684142410755,0.9945333333333334
10,0.0005878115189261734,0.99525
11,0.00033390335738658905,0.9962333333333333
12,0.0005585485487245023,0.9967166666666667
13,0.0025350768119096756,0.9968666666666667
14,0.000761599512770772,0.9973666666666666
