Epoch,Train Loss,Train Accuracy
1,0.10117889940738678,0.9589333333333333
2,0.04914965108036995,0.9853666666666666
3,0.0038979374803602695,0.9887333333333334
4,0.03429077938199043,0.9906666666666667
5,0.01910272426903248,0.9922333333333333
6,0.02139451541006565,0.9929333333333333
7,0.005429190583527088,0.99415
8,0.0003317063383292407,0.9952666666666666
9,0.0008681922918185592,0.9947
10,0.14282016456127167,0.9966
11,6.888773350510746e-05,0.9958
12,0.00023724530183244497,0.9968666666666667
13,7.462194480467588e-05,0.9967333333333334
14,0.0005955946398898959,0.9969166666666667
