Epoch,Train Loss,Train Accuracy
1,0.2903885841369629,0.8300333333333333
2,0.029149679467082024,0.9628333333333333
3,0.12133871763944626,0.9743166666666667
4,0.012121643871068954,0.9790166666666666
5,0.00853832345455885,0.9817333333333333
6,0.12272918969392776,0.9837166666666667
7,0.005483511835336685,0.9861
8,0.09073551744222641,0.9863833333333333
9,0.053439196199178696,0.9881
10,0.06630350649356842,0.9888
11,0.004660855978727341,0.9894666666666667
12,0.007457156665623188,0.9905
13,0.01216158177703619,0.9906
14,0.041660938411951065,0.9911333333333333
15,0.006665726192295551,0.9918166666666667
