Epoch,Train Loss,Train Accuracy
1,0.06063034385442734,0.9605
2,0.08926978707313538,0.98505
3,0.06077843904495239,0.9884
4,0.0027005330193787813,0.9901333333333333
5,0.004067474976181984,0.9915833333333334
6,0.008207893930375576,0.9931166666666666
7,0.00018435687525197864,0.9936333333333334
8,0.0008580877911299467,0.9947333333333334
9,0.0006323418929241598,0.9947
10,0.015353867784142494,0.99555
11,0.18950176239013672,0.99605
12,0.08625853061676025,0.99625
13,1.952290222106967e-05,0.99685
14,0.0006761350086890161,0.9968166666666667
