Epoch,Train Loss,Train Accuracy
1,0.007904806174337864,0.9487166666666667
2,0.017131593078374863,0.9803833333333334
3,0.003155176993459463,0.9840333333333333
4,0.001353843486867845,0.9869333333333333
5,0.002921733073890209,0.9887666666666667
6,0.007606639992445707,0.9894833333333334
7,0.0012434235541149974,0.9907666666666667
8,0.0005892998306080699,0.9905166666666667
9,0.004925718065351248,0.9920666666666667
10,0.0003761873522307724,0.9917166666666667
11,0.0005147408810444176,0.99275
12,0.0005654668202623725,0.99315
13,0.00014293302956502885,0.9938666666666667
14,0.00015811047342140228,0.9936166666666667
15,0.0003723813861142844,0.9936
