Epoch,Train Loss,Train Accuracy
1,0.08934544771909714,0.9429166666666666
2,0.02432221733033657,0.98125
3,0.04788246378302574,0.9850833333333333
4,0.0070511214435100555,0.9870333333333333
5,0.017958058044314384,0.9883166666666666
6,0.01933205872774124,0.9895
7,0.015430266968905926,0.9900166666666667
8,0.0032301857136189938,0.9912333333333333
9,0.0058143651112914085,0.9914333333333334
10,0.011206144466996193,0.9922166666666666
11,0.07473428547382355,0.9923166666666666
12,0.11866417527198792,0.9933166666666666
13,0.050630029290914536,0.9930333333333333
14,0.03479774296283722,0.9935333333333334
