Epoch,Train Loss,Train Accuracy
1,0.004331554751843214,0.9500333333333333
2,0.06346923857927322,0.9813333333333333
3,0.0017062770202755928,0.9838833333333333
4,0.010527113452553749,0.9869
5,0.00249695498496294,0.9879
6,0.02953505329787731,0.9889
7,0.0004476805333979428,0.9905833333333334
8,0.009802795946598053,0.9902666666666666
9,0.36254963278770447,0.9921
10,0.11137028783559799,0.9914833333333334
11,0.0031419803854078054,0.9919833333333333
12,0.04840099439024925,0.9927333333333334
13,0.001604741788469255,0.9928833333333333
