Epoch,Train Loss,Train Accuracy
1,0.010890246368944645,0.9231666666666667
2,0.021703187376260757,0.9790166666666666
3,0.08453796803951263,0.9833833333333334
4,0.008608924224972725,0.9859333333333333
5,0.014270547777414322,0.9872
6,0.0018916865810751915,0.9885666666666667
7,0.00028238497907295823,0.9891833333333333
8,0.07914440333843231,0.99005
9,0.018565893173217773,0.9909
10,0.05403147265315056,0.9912333333333333
11,0.00040817924309521914,0.9921666666666666
12,0.013022759929299355,0.9921333333333333
13,0.003491329960525036,0.9926333333333334
14,0.00045238653547130525,0.9924166666666666
15,0.0026784022338688374,0.9932333333333333
