Epoch,Train Loss,Train Accuracy
1,0.057696618139743805,0.9180166666666667
2,0.0828385278582573,0.97905
3,0.026029203087091446,0.9849166666666667
4,0.05420732498168945,0.9872333333333333
5,0.002609534189105034,0.9891166666666666
6,0.026395469903945923,0.9900166666666667
7,0.008381681516766548,0.9918333333333333
8,0.018399713560938835,0.9919333333333333
9,0.0007137785432860255,0.99325
10,0.01863739639520645,0.9931
11,0.055962856858968735,0.9939333333333333
12,0.2813527286052704,0.99435
13,0.01499036606401205,0.99415
14,0.006979963276535273,0.9947166666666667
